Year,All_UK_Airports,Heathrow,All_GB_Airports_Inc_Heathrow,All_NI_Airports,George_Best_Belfast_City_Airport,Belfast_International_Airport,City_of_Derry_Airport,All_RoI_Airports,Dublin_Airport
2005,231681768,67913153,224419052,7262716,2237219,4824271,201226,25688200,18504800
2006,238640690,67527923,231154673,7486017,2105769,5038692,341556,29227100,21265900
2007,244268700,68066028,236381403,7887297,2186993,5272664,427640,31337400,23375700
2008,239499088,67054745,231226959,8272129,2570742,5262354,439033,31046000,23507200
2009,221857586,66036957,214343491,7514095,2621763,4546475,345857,27013900,20507400
2010,214303031,65881660,207207088,7095943,2740341,4016170,339432,23506100,18426800
2011,222843129,69433230,215938376,6904753,2397271,4101914,405568,23502100,18749100
2012,224049338,70037417,217092486,6956852,2246202,4312441,398209,23674400,19090800
2013,231737288,72367054,224788124,6949164,2541722,4022469,384973,24602556,20092234
2014,241740896,73405330,234803819,6937077,2555111,4031709,350257,26308349,21635077
2015,254941109,74985748,247574015,7367094,2692742,4389870,284482,29535039,24863890
